genbank_id,sequence_id,organism,country,host,collection_date,sex,lat_lon,note
OQ304227,GFS_2020_00111,Tetramesa sp. 5,"South Africa: Baakens River, Targetkloof, PE",Eragrostis curvula,2020,f,33.969 S 25.592 E,
OQ304228,GFS_2020_00116,Tetramesa sp. 1,"South Africa: Valhalla, EL",Sporobolus pyramidalis,2020,f,32.872 S 28.084 E,
OQ304229,GFS_2020_00120,Tetramesa sp. 5,"South Africa: Baakens River, Targetkloof, PE",Eragrostis curvula,2020,f,33.969 S 25.592 E,
OQ304230,GFS_2020_00130,Tetramesa sp. 4,"South Africa: Baakens River, Targetkloof, PE",Eragrostis curvula,2020,f,33.969 S 25.592 E,
OQ304231,GFS_2020_00132,Tetramesa sp. 5,"South Africa: Baakens River, Targetkloof, PE",Eragrostis curvula,2020,,33.969 S 25.592 E,
OQ304232,GFS_2020_00152,Tetramesa sp. 1,"South Africa: Valhalla, EL",Sporobolus pyramidalis,2020,m,32.872 S 28.084 E,
OQ304233,GFS_2020_00155,Tetramesa sp. 4,"South Africa: Baakens River, Targetkloof, PE",Eragrostis curvula,2020,,33.969 S 25.592 E,
OQ304234,GFS_2020_00184,Tetramesa sp. 4,"South Africa: Baakens River, Targetkloof, PE",Eragrostis curvula,2020,,33.969 S 25.592 E,
OQ304235,GFS_2020_00196,Tetramesa sp. 5,"South Africa: Glen Muir, EL",Eragrostis curvula,2020,,32.877 S 28.095 E,
OQ304236,GFS_2020_00233,Tetramesa sp. 4,"South Africa: Glen Muir, EL",Eragrostis curvula,2020,,32.877 S 28.095 E,
OQ304237,GFS_2020_00492,Tetramesa sp. 4,South Africa: Mondplaas,Eragrostis curvula,2020,f,33.963 S 24.954 E,
OQ304238,GFS_2020_00528,Tetramesa sp. 7,South Africa: Mondplaas,Hyparrhenia hirta,2020,,33.963 S 24.954 E,
OQ304239,GFS_2020_00554,Tetramesa sp. 4,South Africa: Mondplaas,Eragrostis curvula,2020,m,33.963 S 24.954 E,
OQ304240,GFS_2020_00555,Tetramesa sp. 7,South Africa: Mondplaas,Hyparrhenia hirta,2020,,33.963 S 24.954 E,
OQ304241,GFS_2020_00562,Tetramesa sp. 5,South Africa: Mondplaas,Eragrostis curvula,2020,,33.963 S 24.954 E,
OQ304242,GFS_2020_00563,Tetramesa sp. 7,South Africa: Mondplaas,Hyparrhenia hirta,2020,,33.963 S 24.954 E,
OQ304243,GFS_2020_00574,Tetramesa sp. 7,South Africa: Mondplaas,Hyparrhenia hirta,2020,,33.963 S 24.954 E,
OQ304244,GFS_2020_00576,Tetramesa sp. 7,South Africa: Mondplaas,Hyparrhenia hirta,2020,,33.963 S 24.954 E,
OQ304245,GFS_2020_00595,Tetramesa sp. 5,South Africa: Mondplaas,Eragrostis curvula,2020,m,33.963 S 24.954 E,
OQ304246,GFS_2020_00606,Tetramesa sp. 5,South Africa: Mondplaas,Eragrostis curvula,2020,,33.963 S 24.954 E,
OQ304247,GFS_2020_00614,Tetramesa sp. 4,"South Africa: Baakens River, Targetkloof, PE",Eragrostis curvula,2020,,33.969 S 25.592 E,
OQ304248,GFS_2020_00626,Tetramesa sp. 7,South Africa: Mondplaas,Hyparrhenia hirta,2020,,33.963 S 24.954 E,
