genbank_id,sequence_id,organism,country,host,collection_date,sex,lat_lon,note
OQ302650,KCP_2020_00235,Tetramesa sp. 18,"South Africa: Kombuisland farm, Marquard",Eragrostis gummiflua,2022,m,28.756 S 27.558 E,
OQ302651,KCP_2020_00238,Tetramesa sp. 4,"South Africa: Kombuisland farm, Marquard",Eragrostis curvula,2022,m,28.756 S 27.558 E,
OQ302652,KCP_2020_00239,Tetramesa sp. 24,"South Africa: Kombuisland farm, Marquard",Eragrostis capensis,2022,f,28.756 S 27.558 E,
OQ302653,KCP_2020_00241,Tetramesa sp. 18,"South Africa: Kombuisland farm, Marquard",Eragrostis gummiflua,2022,m,28.756 S 27.558 E,
OQ302654,KCP_2020_00242,Tetramesa sp. 5,"South Africa: Kombuisland farm, Marquard",Eragrostis curvula,2022,f,28.756 S 27.558 E,
OQ302655,KCP_2020_00243,Tetramesa sp. 18,"South Africa: Kombuisland farm, Marquard",Eragrostis gummiflua,2022,f,28.756 S 27.558 E,
OQ302656,KCP_2020_00244,Tetramesa sp. 5,"South Africa: Kombuisland farm, Marquard",Eragrostis curvula,2022,f,28.756 S 27.558 E,
OQ302657,KCP_2020_00245,Tetramesa sp. 5,"South Africa: Kombuisland farm, Marquard",Eragrostis curvula,2022,f,28.756 S 27.558 E,
OQ302658,KCP_2020_00247,Eurytomidae,South Africa,Phragmites mauritianus,2015,f, ,
OQ302659,LMY_2021_00110,Tetramesa sp. 5,South Africa: Mpumalanga,Eragrostis curvula,2022,m,25.608 S 31.1 E,
OQ302660,LMY_2021_00117,Tetramesa sp. 4,South Africa: Mpumalanga,Eragrostis curvula,2022,,25.608 S 31.1 E,
OQ302661,LMY_2021_00125,Tetramesa sp. 5,South Africa: Mpumalanga,Eragrostis curvula,2022,f,25.608 S 31.1 E,
OQ302662,LMY_2021_00251,Tetramesa sp. 11,South Africa: Mpumalanga,Eragrostis trichophora,2022,m,25.046 S 31.099 E,
OQ302663,LMY_2021_00287,Tetramesa sp.5,South Africa: Mpumalanga,Eragrostis curvula,2022,f,25.608 S 31.1 E,
OQ302664,LMY_2021_00300,Tetramesa sp. 5,South Africa: Mpumalanga,Eragrostis curvula,2022,f,25.608 S 31.1 E,
OQ302665,LMY_2021_00308,Tetramesa sp. 4,South Africa: Mpumalanga,Eragrostis curvula,2022,f,25.608 S 31.1 E,
OQ302666,CVS0002,Tetramesa sp. 1,South Africa: Phinda,Sporobolus pyramidalis,2022,,27.891 S 32.21 E,
OQ302667,GFS_PHI_1036,Tetramesa sp. 21,"South Africa: Khuleni Powerlines, Hluhluwe",Panicum maximum,2022,,28.033 S 32.283 E,
OQ302668,GFS_PHI_1040F,Tetramesa sp. 2,South Africa: Phinda,Sporobolus pyramidalis,2021,f,27.891 S 32.21 E,
OQ302669,GFS_PHI_1096F,Tetramesa sp. 2,South Africa: Phinda,Sporobolus pyramidalis,2021,,27.891 S 32.21 E,
OQ302670,GFS_2021_00749,Tetramesa sp. 11,"South Africa: Mkuze GR turn_off, Mkuze",Eragrostis trichophora,2021,m,27.622 S 32.025 E,
OQ302671,GFS_2021_00762,Tetramesa sp. 8,"South Africa: Khuleni Powerlines, Hluhluwe",Cynodon dactylon,2021,m,28.033 S 32.283 E,
