genbank_id,sequence_id,organism,country,host,collection_date,sex,lat_lon,note
MT549840,GFS_2020_00155,Tetramesa sp. 4,"South Africa, Baakens River (Targetkloof), Port Elizabeth, Eastern Cape",Eragrostis curvula,2020,,33.9686 S 25.5923 E,
MT549841,SPY_KZN_060,Tetramesa sp. 1,"South Africa, Mkuze, KwaZulu Natal",Sporobolus pyramidalis,2017,,27.6221 S 32.0247 E,
MT549842,SPY_KZN_064,Tetramesa sp. 1,"South Africa, Westwood Mall, Durban, KwaZulu Natal",Sporobolus pyramidalis,2017,,29.8291 S 30.9591 E,
MT549843,SPY_KZN_071,Tetramesa sp. 2,"South Africa, Mkuze, KwaZulu Natal",Sporobolus pyramidalis,2017,,27.6221 S 32.0247 E,
MT549844,SPY_LMP_032,Tetramesa sp. 1,"South Africa, Nylsvlei, Limpopo",Sporobolus pyramidalis,2017,,24.576 S 28.6432 E,
AY317223,AY317223,Bruchophagus ononis,"China: Fanjing Mt.,Guizhou",,,,,
AY317226,AY317226,Bruchophagus sp1,China: Riwoqê Tibet,,,,,
AY317239,AY317239,Bruchophagus sp2,Guyana: Rupununi district: Kurupukari,,,,,
AY317227,AY317227,Bruchophagus gibbus,"China: Dayao Mt., Guangxi",,,,,
AY317233,AY317233,Eurytoma orchidearum,"China: Kangding, Sichuan",,,,,
AY317225,AY317225,Eurytoma verticillata,"China: Baoxing, Sichuan",,,,,
AY317236,AY317236,Eurytoma sp. 2,"China: Riwoqê, Tibet",,,,,
